web-scraper-order,web-scraper-start-url,Links,Links-href,Name,Price,Mileage,Engine,Safety,Fuel Type,Transmission,Seating Capacity,Pages,Pages-href
"1706437209-1","https://www.carwale.com/new/best-cars-under-20-lakh/","Maruti Suzuki Alto K10","https://www.carwale.com/maruti-suzuki-cars/alto-k10/","Maruti Alto K10","Rs.  3.99 - 5.96 Lakh","24.39 to 33.85 kmpl","998 cc","2 Star (Global NCAP)","Petrol & CNG","Manual & Automatic","5 Seater","8","https://www.carwale.com/new/best-cars-under-20-lakh/8/"
"1706437211-2","https://www.carwale.com/new/best-cars-under-20-lakh/","Maruti Suzuki S-Presso","https://www.carwale.com/maruti-suzuki-cars/s-presso/","Maruti S-Presso","Rs.  4.26 - 6.11 Lakh","24.44 to 32.73 kmpl","998 cc","0 Star (Global NCAP)","Petrol & CNG","Manual & Automatic","4 & 5 Seater","8","https://www.carwale.com/new/best-cars-under-20-lakh/8/"
"1706437214-3","https://www.carwale.com/new/best-cars-under-20-lakh/","Renault Kwid","https://www.carwale.com/renault-cars/kwid/","Renault Kwid","Rs.  4.70 - 6.45 Lakh","21.7 to 22 kmpl","999 cc","1 Star (Global NCAP)","Petrol","Manual & Automatic","5 Seater","8","https://www.carwale.com/new/best-cars-under-20-lakh/8/"
"1706437216-4","https://www.carwale.com/new/best-cars-under-20-lakh/","Maruti Suzuki Ignis","https://www.carwale.com/maruti-suzuki-cars/ignis/","Maruti Ignis","Rs.  5.84 - 8.30 Lakh","20.89 kmpl","1197 cc","","Petrol","Manual & Automatic","5 Seater","8","https://www.carwale.com/new/best-cars-under-20-lakh/8/"
"1706437218-5","https://www.carwale.com/new/best-cars-under-20-lakh/","Maruti Suzuki Eeco","https://www.carwale.com/maruti-suzuki-cars/eeco/","Maruti Eeco","Rs.  5.32 - 6.58 Lakh","","1197 cc","","Petrol & CNG","Manual","5 & 7 Seater","8","https://www.carwale.com/new/best-cars-under-20-lakh/8/"
"1706437221-6","https://www.carwale.com/new/best-cars-under-20-lakh/","Renault Kiger","https://www.carwale.com/renault-cars/kiger/","Renault Kiger","Rs.  6.00 - 11.23 Lakh","","","","","","","8","https://www.carwale.com/new/best-cars-under-20-lakh/8/"
"1706437223-7","https://www.carwale.com/new/best-cars-under-20-lakh/","Maruti Suzuki Celerio","https://www.carwale.com/maruti-suzuki-cars/celerio/","Maruti Celerio","Rs.  5.36 - 7.10 Lakh","","","","","","","8","https://www.carwale.com/new/best-cars-under-20-lakh/8/"
"1706437226-8","https://www.carwale.com/new/best-cars-under-20-lakh/","Citroen C3","https://www.carwale.com/citroen-cars/c3/","Citroen C3","Rs.  6.16 - 9.08 Lakh","19.3 kmpl","1198 to 1199 cc","","Petrol","Manual","5 Seater","8","https://www.carwale.com/new/best-cars-under-20-lakh/8/"
"1706437228-9","https://www.carwale.com/new/best-cars-under-20-lakh/","Renault Triber","https://www.carwale.com/renault-cars/triber/","Renault Triber","Rs.  6.00 - 8.98 Lakh","18.2 to 19 kmpl","999 cc","4 Star (Global NCAP)","Petrol","Manual & Automatic","7 Seater","8","https://www.carwale.com/new/best-cars-under-20-lakh/8/"
"1706437233-10","https://www.carwale.com/new/best-cars-under-20-lakh/","Maruti Suzuki Brezza","https://www.carwale.com/maruti-suzuki-cars/brezza/","Maruti Brezza","Rs.  8.34 - 14.14 Lakh","19.05 to 25.51 kmpl","1462 cc","","Petrol & CNG","Manual & Automatic","5 Seater","4","https://www.carwale.com/new/best-cars-under-20-lakh/4/"
"1706437235-11","https://www.carwale.com/new/best-cars-under-20-lakh/","Tata Nexon","https://www.carwale.com/tata-cars/nexon/","Tata Nexon","Rs.  8.10 - 15.50 Lakh","17.01 to 24.08 kmpl","1199 to 1497 cc","5 Star (Global NCAP)","Petrol & Diesel","Manual & Automatic","5 Seater","4","https://www.carwale.com/new/best-cars-under-20-lakh/4/"
"1706437238-12","https://www.carwale.com/new/best-cars-under-20-lakh/","Force Motors Trax Cruiser","https://www.carwale.com/force-motors-cars/trax-cruiser/","Force Motors Trax Cruiser","Rs.  13.83 - 15.23 Lakh","","2596 cc","","Diesel","Manual","10 & 13 Seater","4","https://www.carwale.com/new/best-cars-under-20-lakh/4/"
